time_of_day,lane_A_cars,lane_B_cars,lane_C_cars,lane_D_cars,signal_duration_A,signal_duration_B
evening,105,161,62,21,39,61
evening,135,172,60,90,43,57
morning,108,32,53,87,77,23
night,33,17,71,57,66,34
afternoon,118,99,30,86,54,46
morning,58,70,83,77,45,55
afternoon,123,86,83,58,58,42
night,48,20,16,68,70,30
evening,115,72,88,66,61,39
night,9,5,78,50,64,36
afternoon,116,117,13,75,49,51
evening,123,145,13,31,45,55
night,7,46,25,51,13,87
evening,185,155,92,82,54,46
morning,104,75,36,44,58,42
morning,35,88,86,33,28,72
night,42,49,83,46,46,54
morning,49,57,73,25,46,54
afternoon,125,42,53,88,74,26
night,19,36,100,35,34,66
night,31,21,45,26,59,41
evening,85,67,30,85,55,45
afternoon,131,82,58,82,61,39
morning,101,108,92,65,48,52
afternoon,102,59,38,63,63,37
afternoon,111,127,70,57,46,54
morning,94,62,28,67,60,40
evening,170,149,80,54,53,47
evening,114,112,81,66,50,50
night,41,50,25,19,45,55
night,30,49,41,41,37,63
evening,145,65,39,46,69,31
afternoon,152,60,48,77,71,29
afternoon,81,148,17,93,35,65
morning,35,119,74,55,22,78
night,29,50,20,77,36,64
morning,109,48,17,40,69,31
morning,138,58,44,50,70,30
afternoon,176,131,86,73,57,43
night,34,17,47,73,66,34
morning,110,56,15,61,66,34
night,25,5,76,82,83,17
afternoon,106,135,99,73,43,57
afternoon,139,55,37,97,71,29
night,25,46,99,67,35,65
evening,79,174,100,42,31,69
morning,146,111,50,95,56,44
afternoon,78,66,91,59,54,46
evening,144,116,20,26,55,45
morning,30,54,80,14,35,65
evening,144,149,10,98,49,51
night,20,44,67,59,31,69
afternoon,58,105,71,94,35,65
evening,84,76,46,76,52,48
evening,153,101,47,79,60,40
morning,44,104,54,64,29,71
morning,51,41,27,92,55,45
morning,39,108,50,13,26,74
night,31,19,40,49,62,38
morning,104,20,31,35,83,17
night,37,16,56,55,69,31
morning,82,83,59,39,49,51
night,30,22,96,29,57,43
evening,176,94,62,75,65,35
night,22,40,76,89,35,65
afternoon,122,85,77,23,58,42
morning,87,57,19,14,60,40
night,32,2,76,91,94,6
morning,45,89,41,57,33,67
afternoon,139,95,64,34,59,41
afternoon,155,113,72,91,57,43
evening,151,180,61,20,45,55
night,30,5,37,59,85,15
night,49,10,99,79,83,17
night,36,2,56,57,94,6
morning,44,62,31,57,41,59
night,8,48,35,11,14,86
morning,97,116,38,86,45,55
morning,126,38,71,18,76,24
afternoon,122,41,59,15,74,26
afternoon,138,110,70,94,55,45
afternoon,145,127,60,21,53,47
morning,106,31,74,10,77,23
afternoon,126,149,19,54,45,55
evening,156,176,30,55,46,54
afternoon,109,103,12,69,51,49
morning,35,67,99,39,34,66
afternoon,51,56,38,51,47,53
night,11,46,67,18,19,81
night,40,21,40,30,65,35
afternoon,101,121,31,69,45,55
night,1,23,99,43,4,96
morning,52,113,21,60,31,69
night,17,13,47,21,56,44
evening,187,81,68,76,69,31
morning,33,97,92,19,25,75
evening,185,102,14,53,64,36
morning,45,42,88,82,51,49
afternoon,90,55,60,60,62,38
morning,76,29,43,21,72,28
night,44,43,85,52,50,50
morning,48,60,58,48,44,56
night,8,21,82,10,27,73
morning,99,103,44,64,49,51
morning,127,58,73,42,68,32
afternoon,160,114,55,42,58,42
night,6,44,65,34,12,88
morning,43,26,61,16,62,38
evening,84,132,84,98,38,62
afternoon,152,56,69,18,73,27
evening,79,76,18,27,50,50
afternoon,121,44,56,31,73,27
morning,147,70,93,69,67,33
afternoon,133,120,25,60,52,48
afternoon,74,73,89,17,50,50
night,29,19,29,46,60,40
evening,195,113,66,60,63,37
night,16,49,69,92,24,76
evening,198,100,93,53,66,34
morning,69,107,63,22,39,61
morning,87,71,85,27,55,45
night,25,48,70,68,34,66
morning,76,68,93,28,52,48
evening,180,127,80,32,58,42
evening,86,71,47,34,54,46
morning,62,58,48,64,51,49
morning,55,85,63,53,39,61
night,30,41,67,13,42,58
afternoon,147,146,76,84,50,50
evening,164,128,69,63,56,44
night,2,33,47,92,5,95
afternoon,173,45,15,48,79,21
evening,114,78,47,24,59,41
afternoon,174,114,69,77,60,40
afternoon,166,76,25,74,68,32
evening,75,61,29,92,55,45
morning,58,70,63,61,45,55
morning,90,94,87,27,48,52
afternoon,163,66,11,84,71,29
morning,90,33,61,98,73,27
morning,121,60,55,36,66,34
afternoon,133,127,57,44,51,49
afternoon,98,144,42,55,40,60
night,33,42,80,53,44,56
night,31,44,39,21,41,59
morning,64,24,49,71,72,28
evening,149,162,58,80,47,53
night,41,19,22,31,68,32
morning,70,79,89,44,46,54
morning,143,73,85,86,66,34
morning,132,70,47,75,65,35
evening,163,120,31,79,57,43
afternoon,129,127,31,42,50,50
morning,64,59,62,54,52,48
afternoon,108,105,63,54,50,50
afternoon,159,140,76,32,53,47
evening,172,138,33,97,55,45
morning,65,36,37,88,64,36
evening,152,77,32,77,66,34
afternoon,108,64,43,36,62,38
morning,137,100,34,54,57,43
afternoon,99,63,79,66,61,39
morning,150,95,46,34,61,39
morning,49,116,24,81,29,71
evening,70,164,64,39,29,71
afternoon,56,150,25,69,27,73
evening,154,170,18,95,47,53
afternoon,82,118,91,70,41,59
night,46,11,35,36,80,20
night,20,34,71,62,37,63
afternoon,85,115,71,96,42,58
morning,107,67,67,78,61,39
afternoon,65,43,60,23,60,40
night,10,38,90,56,20,80
night,9,14,43,79,39,61
afternoon,159,86,82,93,64,36
evening,154,117,72,100,56,44
afternoon,129,123,19,65,51,49
afternoon,74,63,11,55,54,46
morning,33,114,24,16,22,78
evening,132,156,73,49,45,55
evening,127,77,72,49,62,38
afternoon,170,48,95,44,77,23
evening,157,92,57,11,63,37
morning,95,77,45,91,55,45
evening,130,150,27,47,46,54
afternoon,121,116,14,76,51,49
night,8,7,92,33,53,47
night,44,10,13,46,81,19
afternoon,136,147,60,59,48,52
afternoon,157,106,86,54,59,41
evening,80,109,64,13,42,58
morning,75,32,98,44,70,30
evening,151,62,53,55,70,30
morning,122,57,53,26,68,32
afternoon,64,86,75,92,42,58
night,34,12,97,28,73,27
morning,142,113,46,36,55,45
morning,40,31,78,47,56,44
evening,77,73,12,70,51,49
evening,79,65,55,80,54,46
evening,134,144,98,29,48,52
night,19,6,54,55,76,24
night,45,40,88,80,52,48
morning,140,42,87,17,76,24
morning,135,117,11,49,53,47
night,34,20,40,79,62,38
afternoon,137,50,20,50,73,27
afternoon,115,81,88,68,58,42
afternoon,147,113,34,33,56,44
night,4,45,40,87,8,92
night,8,47,43,22,14,86
evening,152,116,15,58,56,44
evening,118,125,79,34,48,52
morning,149,47,81,29,76,24
morning,66,45,12,61,59,41
evening,162,61,84,81,72,28
afternoon,152,52,72,76,74,26
evening,91,66,19,15,57,43
afternoon,77,53,17,23,59,41
evening,168,132,18,98,56,44
evening,115,119,36,62,49,51
night,36,14,87,10,72,28
night,14,31,30,76,31,69
morning,123,43,58,94,74,26
afternoon,106,50,72,51,67,33
night,47,7,14,13,87,13
morning,67,41,19,16,62,38
night,22,49,52,62,30,70
afternoon,176,64,84,52,73,27
afternoon,163,102,40,50,61,39
night,17,24,35,19,41,59
morning,65,57,94,71,53,47
night,20,28,90,42,41,59
night,14,1,59,25,93,7
afternoon,59,132,34,89,30,70
morning,87,75,64,43,53,47
evening,111,169,76,16,39,61
afternoon,108,45,46,57,70,30
evening,147,140,99,93,51,49
afternoon,130,72,62,92,64,36
evening,128,180,43,11,41,59
morning,45,100,38,43,31,69
evening,152,156,56,30,49,51
afternoon,103,97,64,96,51,49
morning,110,23,40,16,82,18
morning,39,47,16,55,45,55
evening,154,152,25,22,50,50
afternoon,81,106,78,20,43,57
morning,50,27,19,77,64,36
night,43,8,77,95,84,16
night,27,17,74,54,61,39
afternoon,159,81,53,56,66,34
afternoon,115,121,13,81,48,52
morning,105,24,92,97,81,19
evening,117,87,69,15,57,43
night,11,24,88,73,31,69
night,46,41,81,20,52,48
afternoon,129,112,24,63,53,47
night,0,33,17,100,0,100
afternoon,75,95,26,23,44,56
morning,133,102,35,84,56,44
night,20,0,28,33,100,0
morning,143,107,99,92,57,43
morning,70,44,90,51,61,39
night,18,8,13,27,69,31
night,8,12,21,75,40,60
evening,96,113,65,43,45,55
afternoon,107,127,32,71,45,55
afternoon,141,91,47,28,60,40
night,42,23,88,43,64,36
night,13,22,64,21,37,63
night,5,11,47,88,31,69
night,42,11,64,97,79,21
morning,95,67,41,52,58,42
evening,86,158,93,33,35,65
evening,74,60,99,85,55,45
evening,192,161,55,79,54,46
afternoon,90,68,52,12,56,44
night,6,6,20,44,50,50
night,10,13,89,87,43,57
night,50,4,98,37,92,8
evening,186,130,72,89,58,42
morning,32,105,36,74,23,77
evening,123,75,29,32,62,38
night,10,22,65,26,31,69
night,47,0,47,48,100,0
afternoon,83,131,98,74,38,62
afternoon,134,44,11,38,75,25
morning,132,98,18,33,57,43
afternoon,165,66,72,14,71,29
evening,97,150,100,38,39,61
afternoon,161,60,57,65,72,28
morning,111,43,53,59,72,28
morning,117,32,75,69,78,22
afternoon,71,68,58,22,51,49
night,46,34,37,15,57,43
morning,76,57,10,80,57,43
morning,127,101,29,56,55,45
evening,110,160,13,89,40,60
afternoon,129,131,85,10,49,51
evening,85,139,79,64,37,63
morning,54,83,24,47,39,61
afternoon,175,133,36,48,56,44
evening,154,92,29,91,62,38
afternoon,92,95,10,30,49,51
night,8,21,66,95,27,73
afternoon,103,94,19,85,52,48
morning,145,110,31,67,56,44
afternoon,115,78,99,59,59,41
night,16,2,80,67,88,12
evening,81,124,99,100,39,61
afternoon,114,99,20,48,53,47
night,0,49,80,65,0,100
night,10,41,77,59,19,81
afternoon,54,115,52,100,31,69
night,12,13,61,29,48,52
night,40,28,61,51,58,42
night,4,43,91,33,8,92
night,27,28,63,13,49,51
afternoon,115,111,74,68,50,50
evening,132,92,10,28,58,42
evening,77,79,59,93,49,51
morning,85,89,85,29,48,52
evening,170,74,79,11,69,31
afternoon,140,43,70,98,76,24
morning,120,119,71,35,50,50
afternoon,161,101,99,58,61,39
afternoon,117,139,32,91,45,55
night,16,48,38,50,25,75
afternoon,76,105,62,18,41,59
evening,138,113,80,97,54,46
morning,67,86,16,44,43,57
afternoon,148,102,41,59,59,41
morning,91,113,43,87,44,56
evening,86,101,76,52,45,55
morning,30,68,92,75,30,70
night,29,29,95,85,50,50
afternoon,88,99,78,85,47,53
morning,124,32,24,36,79,21
morning,64,119,67,39,34,66
morning,66,21,98,68,75,25
evening,88,117,31,87,42,58
morning,86,37,50,16,69,31
night,39,22,14,75,63,37
morning,91,26,43,70,77,23
afternoon,135,46,69,32,74,26
morning,67,57,45,63,54,46
night,25,39,94,77,39,61
afternoon,151,141,77,48,51,49
morning,95,20,43,64,82,18
afternoon,173,145,33,98,54,46
afternoon,180,102,83,52,63,37
afternoon,64,128,23,15,33,67
night,26,32,65,93,44,56
night,47,45,36,96,51,49
night,17,13,73,14,56,44
morning,136,27,24,63,83,17
night,33,29,42,87,53,47
afternoon,178,109,48,80,62,38
afternoon,80,144,26,63,35,65
afternoon,73,146,17,82,33,67
afternoon,52,121,87,66,30,70
evening,184,119,44,64,60,40
afternoon,79,67,13,86,54,46
morning,85,82,30,49,50,50
night,31,16,38,54,65,35
morning,83,34,89,33,70,30
afternoon,97,90,80,56,51,49
morning,45,107,38,34,29,71
afternoon,142,105,17,23,57,43
evening,175,111,73,38,61,39
morning,107,97,96,27,52,48
afternoon,81,77,38,85,51,49
night,40,47,86,45,45,55
afternoon,101,138,30,15,42,58
afternoon,86,83,73,37,50,50
night,50,22,41,79,69,31
evening,170,93,22,62,64,36
morning,100,25,64,66,80,20
afternoon,101,69,14,35,59,41
morning,46,47,34,23,49,51
morning,47,108,36,78,30,70
evening,169,125,75,89,57,43
night,29,2,91,33,93,7
night,31,45,70,14,40,60
afternoon,105,115,74,23,47,53
night,9,50,19,97,15,85
morning,123,35,74,52,77,23
night,17,17,50,69,50,50
afternoon,152,70,58,99,68,32
afternoon,126,81,66,69,60,40
morning,51,115,71,71,30,70
afternoon,180,76,97,100,70,30
evening,145,111,56,19,56,44
afternoon,96,63,64,99,60,40
morning,68,30,25,16,69,31
afternoon,112,99,56,93,53,47
morning,70,95,57,11,42,58
morning,49,32,27,97,60,40
morning,115,93,33,82,55,45
afternoon,122,104,99,99,53,47
night,40,43,17,96,48,52
morning,111,70,19,75,61,39
afternoon,175,139,92,75,55,45
afternoon,173,118,15,13,59,41
night,24,21,95,49,53,47
morning,124,34,30,39,78,22
morning,109,44,97,60,71,29
afternoon,152,40,60,80,79,21
morning,111,104,33,81,51,49
evening,91,70,59,42,56,44
evening,177,86,26,99,67,33
evening,133,175,84,12,43,57
morning,94,43,86,78,68,32
afternoon,145,137,64,38,51,49
night,19,31,76,73,38,62
morning,37,32,81,24,53,47
night,29,16,27,13,64,36
morning,47,114,19,36,29,71
evening,197,72,65,77,73,27
morning,134,76,50,79,63,37
evening,173,152,95,14,53,47
evening,152,88,12,85,63,37
evening,197,99,91,37,66,34
morning,108,39,98,13,73,27
afternoon,158,62,39,47,71,29
afternoon,112,124,76,45,47,53
morning,125,55,39,40,69,31
evening,126,171,37,44,42,58
evening,143,177,25,39,44,56
night,13,12,15,59,52,48
night,12,38,67,17,24,76
afternoon,102,139,90,25,42,58
afternoon,154,121,48,98,56,44
afternoon,83,69,65,16,54,46
evening,144,177,58,63,44,56
morning,73,101,55,24,41,59
night,12,27,50,37,30,70
night,19,41,59,24,31,69
night,38,40,59,59,48,52
morning,50,66,82,47,43,57
evening,143,96,80,25,59,41
morning,33,80,42,92,29,71
afternoon,148,56,97,17,72,28
evening,119,127,51,66,48,52
morning,69,28,26,10,71,29
evening,74,76,50,96,49,51
night,28,38,47,69,42,58
afternoon,69,76,39,26,47,53
morning,120,32,10,10,78,22
afternoon,109,52,20,90,67,33
afternoon,160,59,36,71,73,27
afternoon,165,134,87,59,55,45
night,25,15,19,84,62,38
afternoon,122,82,32,66,59,41
night,13,47,97,48,21,79
morning,63,77,80,50,45,55
evening,173,157,71,53,52,48
evening,139,102,44,49,57,43
night,41,15,67,59,73,27
night,0,41,72,23,0,100
evening,137,81,46,45,62,38
night,39,18,78,57,68,32
morning,113,31,70,58,78,22
night,3,27,97,49,10,90
night,28,35,30,42,44,56
night,18,8,38,36,69,31
afternoon,123,124,96,74,49,51
morning,37,107,58,42,25,75
afternoon,139,127,80,63,52,48
night,8,28,86,38,22,78
night,49,46,22,84,51,49
night,35,36,54,53,49,51
evening,143,158,47,43,47,53
afternoon,95,113,81,55,45,55
morning,59,25,13,22,70,30
night,23,41,70,53,35,65
evening,120,171,86,87,41,59
night,32,39,49,64,45,55
evening,78,113,90,17,40,60
afternoon,151,96,16,41,61,39
night,41,30,86,59,57,43
evening,111,140,55,28,44,56
evening,130,74,41,80,63,37
night,42,24,58,30,63,37
morning,129,20,91,46,86,14
evening,148,168,66,46,46,54
morning,98,28,52,58,77,23
night,19,14,94,88,57,43
night,38,21,91,16,64,36
afternoon,147,53,89,26,73,27
night,10,34,41,58,22,78
morning,64,39,84,36,62,38
afternoon,130,147,93,60,46,54
night,39,7,84,85,84,16
afternoon,108,60,80,81,64,36
night,4,5,43,57,44,56
night,10,1,68,78,90,10
evening,117,70,96,86,62,38
morning,75,118,91,78,38,62
afternoon,138,109,23,41,55,45
night,15,50,31,23,23,77
evening,92,96,64,60,48,52
morning,115,70,65,96,62,38
night,33,35,63,20,48,52
afternoon,143,85,67,79,62,38
night,24,36,66,63,40,60
evening,195,94,79,29,67,33
afternoon,138,111,89,49,55,45
afternoon,151,87,97,42,63,37
afternoon,105,50,66,60,67,33
evening,139,137,82,15,50,50
evening,136,71,53,80,65,35
night,35,27,66,81,56,44
night,21,25,34,61,45,55
night,48,32,13,26,60,40
evening,115,149,54,36,43,57
afternoon,148,150,18,19,49,51
evening,75,154,23,23,32,68
night,36,48,62,40,42,58
night,15,31,68,71,32,68
night,37,33,99,38,52,48
morning,112,29,62,23,79,21
afternoon,62,72,34,67,46,54
night,11,37,67,11,22,78
afternoon,124,47,17,15,72,28
morning,113,77,82,96,59,41
evening,112,92,12,52,54,46
morning,74,109,56,52,40,60
evening,170,155,42,11,52,48
morning,145,105,65,48,57,43
morning,65,65,60,89,50,50
night,17,15,80,64,53,47
afternoon,85,121,15,41,41,59
night,11,50,40,60,18,82
evening,160,127,48,97,55,45
morning,38,23,83,42,62,38
evening,143,117,86,27,55,45
night,29,49,48,84,37,63
evening,102,83,44,62,55,45
night,18,23,25,77,43,57
evening,88,135,76,58,39,61
evening,79,150,100,12,34,66
morning,36,85,27,70,29,71
night,48,37,58,31,56,44
afternoon,96,41,92,94,70,30
evening,96,107,10,55,47,53
afternoon,65,58,23,22,52,48
morning,46,31,83,63,59,41
evening,193,79,66,20,70,30
afternoon,80,121,94,25,39,61
afternoon,107,116,78,72,47,53
afternoon,166,144,45,81,53,47
morning,60,43,26,82,58,42
morning,121,92,45,33,56,44
afternoon,168,124,50,29,57,43
morning,124,63,56,98,66,34
morning,53,59,79,76,47,53
night,2,21,20,34,8,92
afternoon,61,49,43,17,55,45
evening,167,121,22,76,57,43
morning,140,35,78,11,80,20
evening,80,154,86,45,34,66
evening,98,127,60,71,43,57
afternoon,70,63,33,50,52,48
morning,44,43,60,56,50,50
night,22,23,20,52,48,52
evening,156,99,29,58,61,39
evening,85,175,38,26,32,68
morning,126,98,91,89,56,44
morning,71,43,95,92,62,38
night,48,7,43,59,87,13
afternoon,161,79,68,32,67,33
morning,43,109,50,55,28,72
afternoon,116,141,88,81,45,55
evening,126,67,84,56,65,35
morning,110,82,100,100,57,43
night,17,22,24,46,43,57
afternoon,154,63,64,54,70,30
morning,51,105,30,75,32,68
afternoon,53,64,84,31,45,55
night,18,45,28,44,28,72
morning,131,111,23,54,54,46
evening,85,140,50,96,37,63
morning,109,77,62,23,58,42
evening,179,134,64,64,57,43
afternoon,86,123,56,16,41,59
afternoon,159,97,28,43,62,38
evening,110,163,59,32,40,60
night,39,31,58,39,55,45
morning,67,41,30,61,62,38
night,0,10,53,35,0,100
morning,60,105,22,10,36,64
night,24,38,51,14,38,62
night,19,41,78,95,31,69
evening,146,143,80,34,50,50
morning,92,90,97,21,50,50
evening,162,159,64,75,50,50
afternoon,146,44,94,40,76,24
afternoon,175,45,55,100,79,21
night,28,13,81,34,68,32
afternoon,63,100,29,36,38,62
afternoon,168,64,67,69,72,28
evening,108,139,30,31,43,57
evening,191,146,55,25,56,44
evening,74,147,39,20,33,67
afternoon,81,63,90,50,56,44
night,1,27,23,24,3,97
evening,117,158,58,60,42,58
morning,53,40,59,33,56,44
morning,141,82,24,92,63,37
afternoon,176,49,91,91,78,22
evening,193,154,25,86,55,45
night,33,47,47,19,41,59
night,10,37,13,95,21,79
afternoon,50,88,36,58,36,64
morning,33,114,40,72,22,78
morning,81,55,35,41,59,41
night,49,45,40,12,52,48
morning,106,34,27,90,75,25
night,20,48,20,67,29,71
evening,116,134,44,95,46,54
night,35,41,25,71,46,54
night,28,33,32,95,45,55
afternoon,83,63,82,75,56,44
night,3,7,30,91,30,70
evening,78,159,90,88,32,68
night,15,3,66,86,83,17
afternoon,75,147,11,72,33,67
night,14,24,76,28,36,64
morning,49,56,56,96,46,54
afternoon,80,121,57,46,39,61
afternoon,58,150,91,81,27,73
night,5,22,90,42,18,82
evening,88,165,95,10,34,66
night,4,11,35,48,26,74
afternoon,105,71,49,34,59,41
night,1,35,18,100,2,98
afternoon,143,123,50,15,53,47
morning,109,110,98,94,49,51
evening,110,73,67,20,60,40
morning,65,58,78,29,52,48
evening,79,98,24,86,44,56
afternoon,109,43,93,100,71,29
afternoon,142,56,66,94,71,29
night,19,32,22,74,37,63
morning,79,32,95,84,71,29
evening,159,101,28,33,61,39
afternoon,93,99,45,20,48,52
afternoon,92,82,71,63,52,48
afternoon,64,131,92,49,32,68
afternoon,138,56,24,89,71,29
morning,95,89,100,11,51,49
evening,120,155,22,18,43,57
afternoon,134,140,92,85,48,52
morning,144,74,73,48,66,34
afternoon,64,42,74,75,60,40
night,48,35,79,56,57,43
morning,37,77,18,53,32,68
night,30,5,31,37,85,15
afternoon,130,140,14,33,48,52
morning,85,57,76,76,59,41
afternoon,149,120,77,16,55,45
evening,134,109,33,62,55,45
afternoon,133,54,20,25,71,29
night,22,28,19,36,44,56
morning,105,50,85,40,67,33
evening,100,87,30,25,53,47
night,31,49,69,35,38,62
evening,79,83,86,15,48,52
morning,54,44,54,94,55,45
morning,112,42,86,42,72,28
evening,97,155,84,75,38,62
afternoon,56,122,57,35,31,69
evening,168,88,78,22,65,35
afternoon,122,58,91,41,67,33
morning,80,79,90,17,50,50
morning,44,54,88,41,44,56
afternoon,52,88,84,67,37,63
night,29,13,79,42,69,31
afternoon,59,98,93,89,37,63
afternoon,75,92,44,96,44,56
morning,30,82,69,89,26,74
afternoon,93,127,10,69,42,58
night,34,33,96,19,50,50
evening,86,122,15,21,41,59
morning,68,49,33,55,58,42
evening,193,173,80,17,52,48
night,47,7,50,42,87,13
night,25,29,62,95,46,54
evening,81,112,62,75,41,59
morning,88,67,78,26,56,44
afternoon,179,117,86,73,60,40
evening,80,69,91,65,53,47
night,40,50,40,22,44,56
afternoon,105,115,30,25,47,53
afternoon,178,89,87,55,66,34
night,12,30,38,72,28,72
evening,72,176,64,32,29,71
morning,121,38,46,35,76,24
night,7,10,19,35,41,59
afternoon,134,97,72,84,58,42
night,2,7,89,20,22,78
night,44,36,39,69,55,45
afternoon,88,67,14,37,56,44
morning,138,72,41,64,65,35
evening,192,155,95,50,55,45
morning,44,40,13,12,52,48
night,32,0,39,75,100,0
morning,98,65,62,76,60,40
evening,190,68,66,88,73,27
night,15,25,59,80,37,63
evening,130,65,22,57,66,34
evening,110,149,97,84,42,58
evening,179,79,15,11,69,31
night,46,18,35,47,71,29
afternoon,64,133,74,40,32,68
night,17,16,16,27,51,49
night,36,0,27,59,100,0
afternoon,77,45,69,50,63,37
afternoon,147,72,69,92,67,33
morning,146,35,96,66,80,20
night,27,27,61,99,50,50
night,5,48,83,25,9,91
afternoon,96,123,94,80,43,57
evening,155,158,77,40,49,51
evening,84,63,70,10,57,43
night,42,5,41,24,89,11
afternoon,158,56,74,85,73,27
evening,96,82,25,95,53,47
night,19,33,82,51,36,64
afternoon,59,99,17,73,37,63
night,10,32,97,35,23,77
evening,106,70,98,61,60,40
evening,164,73,61,32,69,31
afternoon,91,126,92,60,41,59
afternoon,92,100,24,15,47,53
afternoon,151,76,49,26,66,34
night,24,44,73,79,35,65
afternoon,108,103,67,100,51,49
morning,150,41,70,57,78,22
night,16,19,100,39,45,55
morning,142,50,12,39,73,27
night,8,1,13,19,88,12
evening,177,79,80,62,69,31
night,39,12,50,56,76,24
night,10,34,65,87,22,78
afternoon,98,76,39,61,56,44
morning,136,58,62,29,70,30
evening,142,176,34,24,44,56
evening,187,108,80,19,63,37
afternoon,129,110,80,30,53,47
morning,138,73,46,24,65,35
morning,94,93,41,47,50,50
morning,136,79,27,18,63,37
afternoon,63,50,56,81,55,45
evening,156,101,79,24,60,40
afternoon,102,106,32,40,49,51
evening,76,153,79,30,33,67
night,38,33,65,96,53,47
evening,138,91,34,29,60,40
night,4,39,79,48,9,91
night,37,31,81,34,54,46
morning,121,48,48,45,71,29
evening,116,121,77,28,48,52
evening,100,155,92,31,39,61
morning,96,114,49,92,45,55
morning,75,35,84,79,68,32
evening,184,92,79,45,66,34
evening,130,116,76,69,52,48
morning,102,38,26,26,72,28
afternoon,159,62,66,40,71,29
morning,94,81,88,73,53,47
afternoon,167,109,93,20,60,40
afternoon,83,124,83,13,40,60
morning,92,93,84,68,49,51
afternoon,86,46,71,66,65,35
afternoon,156,53,25,17,74,26
morning,58,79,47,80,42,58
night,46,31,15,90,59,41
night,28,42,22,34,40,60
night,13,2,74,81,86,14
afternoon,58,91,89,57,38,62
morning,73,75,98,33,49,51
evening,72,174,78,74,29,71
afternoon,80,111,85,72,41,59
afternoon,79,94,50,73,45,55
evening,193,88,14,54,68,32
evening,106,145,69,43,42,58
evening,164,60,98,23,73,27
evening,154,96,72,66,61,39
afternoon,107,99,64,81,51,49
night,7,3,71,34,70,30
night,9,12,93,43,42,58
night,30,37,96,66,44,56
morning,40,102,32,75,28,72
afternoon,144,89,76,52,61,39
morning,122,48,89,75,71,29
night,7,20,24,50,25,75
afternoon,121,145,33,39,45,55
afternoon,58,132,13,24,30,70
afternoon,118,85,15,42,58,42
evening,132,64,57,94,67,33
night,30,12,49,34,71,29
afternoon,110,77,62,93,58,42
morning,63,47,24,39,57,43
evening,179,89,99,48,66,34
evening,170,82,12,86,67,33
night,24,12,63,98,66,34
morning,79,31,59,46,71,29
morning,113,21,60,24,84,16
morning,64,72,79,69,47,53
afternoon,176,90,17,75,66,34
morning,93,86,14,42,51,49
evening,151,87,20,13,63,37
morning,68,83,44,89,45,55
afternoon,67,96,48,36,41,59
morning,50,42,49,38,54,46
morning,113,59,32,70,65,35
morning,62,27,98,17,69,31
morning,36,37,79,21,49,51
afternoon,76,87,58,21,46,54
morning,86,88,94,75,49,51
evening,75,106,72,41,41,59
afternoon,94,143,49,98,39,61
evening,119,68,52,37,63,37
afternoon,83,42,90,43,66,34
afternoon,60,79,52,37,43,57
evening,143,130,71,81,52,48
night,25,24,22,10,51,49
afternoon,151,79,28,51,65,35
afternoon,122,80,52,70,60,40
evening,149,151,45,72,49,51
night,31,48,45,90,39,61
evening,70,143,71,56,32,68
morning,83,69,96,15,54,46
night,4,34,37,79,10,90
morning,130,97,61,92,57,43
afternoon,73,132,58,17,35,65
evening,181,146,41,55,55,45
morning,76,37,44,74,67,33
night,24,34,71,81,41,59
afternoon,96,120,53,92,44,56
evening,197,65,13,50,75,25
night,42,37,60,41,53,47
evening,196,111,12,85,63,37
morning,106,37,31,46,74,26
morning,93,65,65,45,58,42
morning,30,29,85,77,50,50
afternoon,77,63,34,25,55,45
evening,182,159,90,95,53,47
morning,87,106,71,14,45,55
evening,95,178,90,96,34,66
evening,76,126,75,57,37,63
evening,188,114,72,26,62,38
evening,115,98,15,24,53,47
afternoon,129,143,19,87,47,53
evening,180,139,59,11,56,44
night,40,11,18,65,78,22
night,48,13,58,28,78,22
morning,142,96,53,74,59,41
night,47,47,84,87,50,50
morning,73,56,96,19,56,44
evening,156,123,68,96,55,45
afternoon,130,70,83,78,65,35
morning,47,93,69,24,33,67
morning,82,54,94,88,60,40
morning,41,37,79,39,52,48
night,20,40,28,56,33,67
morning,118,69,10,58,63,37
afternoon,168,137,65,84,55,45
evening,110,89,98,62,55,45
evening,162,70,91,46,69,31
morning,70,41,97,76,63,37
night,0,19,10,15,0,100
afternoon,101,146,42,30,40,60
night,30,23,84,10,56,44
evening,114,142,30,55,44,56
night,15,43,76,55,25,75
morning,119,77,56,74,60,40
night,0,38,60,56,0,100
afternoon,167,118,58,14,58,42
afternoon,66,144,48,79,31,69
evening,141,155,25,47,47,53
night,47,28,74,46,62,38
night,34,49,83,80,40,60
evening,171,165,100,37,50,50
afternoon,143,97,37,65,59,41
morning,94,72,11,10,56,44
evening,161,120,36,40,57,43
night,24,48,73,83,33,67
evening,125,137,49,82,47,53
morning,33,89,14,37,27,73
evening,124,119,34,77,51,49
morning,146,99,67,29,59,41
morning,58,25,47,90,69,31
night,4,40,16,91,9,91
morning,109,102,69,13,51,49
night,35,21,67,72,62,38
afternoon,105,91,61,95,53,47
night,45,33,41,15,57,43
night,10,38,96,36,20,80
afternoon,131,73,26,46,64,36
evening,186,170,94,12,52,48
night,23,35,58,92,39,61
morning,120,109,24,53,52,48
night,39,9,95,12,81,19
evening,183,99,83,68,64,36
evening,149,87,43,97,63,37
night,24,19,69,75,55,45
afternoon,91,116,97,37,43,57
